	Username	Text	mentions	retweets	hastags	geo	favorites	date	month	day	hour
0		The Samali/Gorman group from the @ARCresearchNUIG in full support of @NUIGsolidariTEA this morning! #SolidariTEA pic.twitter.com/o6HdkRZBvu	@ARCresearchNUIG @NUIGsolidariTEA	7	#SolidariTEA		21	2017-12-07 16:22:19	12	7	16
0		Great day for @nuigalway massive support @NUIGsolidariTEA Thanks everyone! Time for @nuigalway to #manup #solidariTEA @Afshin_Samali	@nuigalway @NUIGsolidariTEA @nuigalway @Afshin_Samali	2	#manup #solidariTEA		5	2017-12-07 16:18:11	12	7	16
0		#solidariTEA today for our colleagues in @NUIGsolidariTEA Standing up to gender discrimination and winning pic.twitter.com/UFEK76koRz	@NUIGsolidariTEA	0	#solidariTEA		3	2017-12-07 16:09:11	12	7	16
0		A bit late (and this is coffee not tea), but drinking in support of our colleagues @NUIGsolidariTEA #solidariTEA pic.twitter.com/UwTPOTB1JP	@NUIGsolidariTEA	0	#solidariTEA		6	2017-12-07 16:08:12	12	7	16
0		Taking a break between invigilations to support #solidariTEA @gcs_ul @NUIGsolidariTEA . pic.twitter.com/9Wx72C4jBp	@gcs_ul @NUIGsolidariTEA	1	#solidariTEA		14	2017-12-07 15:59:20	12	7	15
0		A bit late to the party but gender discrimination still sadly is all around! All #solidariTEA no shade to @NUIGsolidariTEA pic.twitter.com/AyxQjdt0RO	@NUIGsolidariTEA	1	#solidariTEA		12	2017-12-07 15:52:18	12	7	15
0		The doughnuts spelled out #solidariTEA . Thank you all for hosting this event! https:// twitter.com/gender_ucd/sta tus/938712553416519680 …		0	#solidariTEA		3	2017-12-07 15:46:12	12	7	15
0		We are grateful, and buoyed up, and even emotional (blame the cake) at the outpouring of support in Galway and across the world. Thank you all for showing #solidariTEA with us today.		8	#solidariTEA		37	2017-12-07 15:31:12	12	7	15
0		Edinburgh Scotland too! #solidariTEA @nuigalway https:// twitter.com/crowleyblab/st atus/938707859243708416 …	@nuigalway	1	#solidariTEA		8	2017-12-07 15:13:39	12	7	15
0		And in the Netherlands #solidariTEA @nuigalway https:// twitter.com/NadiaBernaz/st atus/938690640933720064 …	@nuigalway	3	#solidariTEA		12	2017-12-07 15:13:21	12	7	15
0		This is great support indeed! #solidariTEA @nuigalway https:// twitter.com/cathmartingree n/status/938748788239421441 …	@nuigalway	3	#solidariTEA		13	2017-12-07 14:45:28	12	7	14
0		Coffee for #solidariTEA to support the women dealing with #genderdiscrimination in NUI Galway @NUIGsolidariTEA pic.twitter.com/8pGzvtF0RJ	@NUIGsolidariTEA	3	#solidariTEA #genderdiscrimination		10	2017-12-07 14:45:21	12	7	14
0		Senators and T.D's supporting #solidariTEA for @NUIGsolidariTEA @BoyhanVictor @JanOSullivanTD @ivanabacik @aliceeire @cathmartingreen pic.twitter.com/bfWgofx7OF	@NUIGsolidariTEA @BoyhanVictor @JanOSullivanTD @ivanabacik @aliceeire @cathmartingreen	8	#solidariTEA		23	2017-12-07 14:32:05	12	7	14
0		I’m drinking some #solidariTea and sending support from Liverpool to @NUIGsolidariTEA pic.twitter.com/y6iBNgMsJU	@NUIGsolidariTEA	1	#solidariTea		16	2017-12-07 14:30:54	12	7	14
0		Delighted with the amount of support shown for the 4 lecturers at #solidariTEA today! @nuigalway must act to correct injustice and prevent further sexism & discrimination. Athena Swan award won't be won by inaction.	@nuigalway	1	#solidariTEA		5	2017-12-07 14:29:16	12	7	14
0		#solidariTEA equality coffee/tea morning was a great success. Many thanks @NUIGsolidariTEA organising committee. pic.twitter.com/vxwylZfxup	@NUIGsolidariTEA	2	#solidariTEA		11	2017-12-07 14:26:29	12	7	14
0		#solidaritea is now trending in Ireland https://www. trendsmap.com/r/IE_vitjmd pic.twitter.com/TqNP8kPixA		6	#solidaritea		7	2017-12-07 14:20:21	12	7	14
